original_id,name
1756,BLOOD
875,JF THE SKIN SPECIALIST
2247,JUDYDOLL
384,MBK
111,MUSTIKA RATU
2406,FACERINNA
1017,SKINTIFIC
326,CETAPHIL
1429,CERAVE
1409,LA ROCHE POSAY
358,BIO 2
70,FANBO
1450,BEAUTYINU
2259,BEERU
368,ENCHANTEUR
78,HANASUI
2397,N.CO
2089,NISSIN
130,PURBASARI
366,VITALIS
163,VIVA
778,ESENSES
1219,KELAYA
530,BLINKZ
1097,HOLIGRELS
1943,KERITH
922,MOOI
2326,SKINFLAIR
1853,YESSICA'S
49,BRASOV
2230,BLSHFL
561,GILETTE
1612,HEAD & SHOULDERS
920,HERBAL ESSENCES
919,PANTENE
2306,CLABEAU
2300,KOJIS
2312,CROWNCARE
1731,PASEO
131,VEET
1143,GLOWIES BEAUTY
912,LEIVY
1589,VIVELLE
349,ARIUL
2322,BRAVEN
515,CARASUN
691,CLEAN FACE
57,COSRX
350,DERMA ANGEL
65,EVANGELINE
85,INNISFREE
1632,KOJIESAN SAKURA
497,MAMAYA
375,MEDIHEAL
381,PURE PAWPAW
372,ROJUKIS
1646,PAPAYA
1460,REGLOW
1986,LAYR
915,BASE
1534,KITSCHY
474,USHAS
387,SALSA
1114,DORSKIN
2119,GLOOWBI
22,SCARLETT
287,STUDIO TROPIK
136,SAFI
152,SUMBER AYU
914,PINK
2329,PINK SKIN
144,SHINZUI
1296,ELVICTO
1545,ISWHITE
38,AZARINE
1434,BONAVIE
423,CARESO
1160,CBD
1165,ELFORMULA
1544,GATSBY
1198,GRACE AND GLOW
80,HERBORIST
325,HIMALAYA
83,IMPLORA
1524,LAB ON HAIR
1265,LILITH & EVE
1455,LOVILLEA
564,LUCIDO
101,MADAME GIE
168,MARIMAR
1135,MILK RECIPE
377,MIRANDA
1726,MYSTIC EYES
1057,NUFACE
104,PIXY
2412,PIXY DEO
565,PUCELLE
1164,SEA MAKEUP
927,SECRET CLEAN
145,SILKYGIRL
1304,THE ORIGINOTE
157,TOKYO NIGHT
166,WHITELAB
1856,WONDERLUX
398,XIXIU
1327,GLOWSOPHY
437,FOCALLURE
838,PINKFLASH
107,MARSHWILLOW
1806,AMATERASUN
44,BIZARRE
61,DEAR ME BEAUTY
25,NPURE
1680,SAFF & CO
54,SOMETHINC
35010,
18004,
1520,ANIMATE
996,BIOAQUA
523,BIOTALK
1945,CAPTAIN
1772,COVER MAKE
59,CULTUSIA
2353,DENTIX
1286,EIEM BEAUTY
1272,GIRLPAL
775,KAILA
