original_id,name
7,Miss Glam Padang
8,Miss Glam Pekanbaru
9,Miss Glam Jambi
13,Miss Glam Bukittinggi
14,Miss Glam Panam
15,Miss Glam Muaro Bungo
17,Miss Glam Lampung
18,Miss Glam Bengkulu
19,Miss Glam Medan
20,Miss Glam Palembang
21,Miss Glam Damar
22,Miss Glam Bangka
23,Miss Glam Payakumbuh
24,Miss Glam Solok
25,Miss Glam Tembilahan
26,Miss Glam Lubuk Linggau
27,Miss Glam Dumai
28,Miss Glam Kedaton
29,Miss Glam Rantau Prapat
30,Miss Glam Tanjung Pinang
31,Miss Glam Sutomo
32,Miss Glam Pasaman Barat
33,Miss Glam Halat
34,Miss Glam Duri
35,Miss Glam Sudirman
36,Miss Glam Dr. Mansyur
37,PT Bersama Distriversa Indonesia
38,Miss Glam P. Sidimpuan
39,Miss Glam Aceh
40,Miss Glam Marpoyan
41,Miss Glam Sei Penuh
42,Miss Glam Mayang
43,Miss Glam Soeta
44,Miss Glam Balikpapan
