Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Bangka;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Bangka;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Bangka;8.0;0.0;0.86;4.0;7.0;29.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;110;117;26;9.30232558139535;1;18;17;1;3;452591.0;79869.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Bangka;3.0;0.0;1.37;5.0;7.0;29.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;136;146;42;2.18978102189781;1;39;37;2;3;591038.0;47922.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Bangka;3.0;0.0;1.41;6.0;7.0;29.0;3.0;9.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;165;175;43;2.127659574468085;1;31;4;27;27;101580.0;685665.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Bangka;9.0;0.0;1.32;5.0;7.0;29.0;3.0;3.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;136;146;40;6.8181818181818175;1;28;0;28;28;0.0;424340.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Bangka;8.0;0.0;0.9;5.0;7.0;29.0;3.0;6.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;139;146;27;8.88888888888889;1;13;0;13;13;0.0;346099.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Bangka;2.0;0.0;1.1;4.0;7.0;29.0;3.0;9.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;109;117;33;1.8181818181818181;1;22;3;19;19;47922.0;303506.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;Miss Glam Bangka;3.0;0.0;0.05;1.0;7.0;29.0;3.0;0.0;50789.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;29;30;2;60.0;0;0;0;0;0;0.0;0.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821100293;ACNES Foaming Wash 100ml;Miss Glam Bangka;3.0;0.0;0.03;1.0;7.0;29.0;3.0;0.0;32767.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;29;30;1;100.0;0;0;0;0;0;0.0;0.0;12. Miss Glam Bangka.xlsx;BANGKA
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Bangka;4.0;0.0;0.76;3.0;7.0;29.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;82;88;23;5.2631578947368425;1;19;19;0;0;505837.0;0.0;12. Miss Glam Bangka.xlsx;BANGKA
