Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Bengkulu;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Bengkulu;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Bengkulu;0.0;0.0;0.75;4.0;5.0;22.0;1.0;0.0;33500.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;85;89;23;0.0;1;23;17;6;6;569500.0;201000.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Bengkulu;12.0;0.0;0.59;5.0;5.0;22.0;1.0;0.0;32526.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;108;111;18;20.33898305084746;1;6;1;5;5;32526.0;162630.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Bengkulu;4.0;0.0;0.86;4.0;5.0;8.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;28;33;26;4.651162790697675;1;22;3;19;19;79869.0;505837.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Bengkulu;2.0;0.0;1.37;5.0;5.0;8.0;3.0;4.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;34;41;42;1.4598540145985401;1;36;4;32;32;63896.0;511168.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Bengkulu;0.0;0.0;1.41;6.0;5.0;8.0;3.0;5.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;41;49;43;0.0;1;38;7;31;31;177765.0;787245.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Bengkulu;7.0;0.0;1.32;5.0;5.0;8.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;34;41;40;5.303030303030303;1;33;4;29;29;60620.0;439495.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Bengkulu;2.0;0.0;0.9;5.0;5.0;8.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;36;41;27;2.2222222222222223;1;22;2;20;20;53246.0;532460.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Bengkulu;8.0;0.0;1.1;4.0;5.0;8.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;27;33;33;7.2727272727272725;1;25;1;24;24;15974.0;383376.0;8. Miss Glam Bengkulu.xlsx;BENGKULU
