Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Bukittinggi;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Bukittinggi;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Bukittinggi;0.0;0.0;0.28;2.0;5.0;21.0;1.0;0.0;35700.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;41;43;9;0.0;1;9;6;3;3;214200.0;107100.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Bukittinggi;0.0;0.0;0.75;4.0;5.0;21.0;1.0;0.0;31959.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;81;85;23;0.0;1;23;16;7;7;511344.0;223713.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Bukittinggi;25.0;0.0;0.51;8.0;5.0;21.0;1.0;0.0;33887.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;166;169;16;49.01960784313725;0;0;0;0;0;0.0;0.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Bukittinggi;13.0;0.0;0.59;5.0;5.0;21.0;1.0;0.0;32445.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;103;106;18;22.033898305084747;1;5;0;5;5;0.0;162225.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNEMED;8995232702551;ACNEMED Blemish Spot 12g;Miss Glam Bukittinggi;0.0;0.0;0.03;1.0;1.0;2.0;3.0;0.0;27473.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;2;3;1;0.0;1;1;1;0;0;27473.0;0.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Bukittinggi;16.0;0.0;0.86;4.0;3.0;7.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;29;26;18.6046511627907;1;10;0;10;10;0.0;266230.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Bukittinggi;10.0;0.0;1.37;5.0;3.0;7.0;3.0;9.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;31;36;42;7.2992700729927;1;23;0;23;23;0.0;367402.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Bukittinggi;22.0;0.0;1.41;6.0;3.0;7.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;38;43;43;15.602836879432624;1;21;0;21;21;0.0;533295.0;4. Miss Glam Bukittinggi.xlsx;BUKITTINGGI
