Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10400614911;ACNAWAY 3 in 1 Acne Sun Serum Sunscreen Serum with SPF 50+ PA+++ ONLY FOR ACNE SKIN 50gr;Miss Glam Damar;4.0;0.0;0.02;1.0;4.0;23.0;1.0;0.0;60333.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;23;24;1;200.0;0;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Damar;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Damar;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Damar;7.0;0.0;0.08;1.0;4.0;23.0;1.0;0.0;32445.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;23;24;3;87.5;0;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Damar;7.0;0.0;0.75;4.0;4.0;23.0;1.0;6.0;31930.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;89;92;23;9.333333333333334;1;10;0;10;10;0.0;319300.0;11. Miss Glam Damar.xlsx;DAMAR
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Damar;0.0;0.0;0.51;8.0;4.0;23.0;1.0;0.0;33887.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;182;185;16;0.0;1;16;12;4;4;406644.0;135548.0;11. Miss Glam Damar.xlsx;DAMAR
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Damar;4.0;0.0;0.59;5.0;4.0;23.0;1.0;5.0;32445.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;113;116;18;6.779661016949153;1;9;0;9;9;0.0;292005.0;11. Miss Glam Damar.xlsx;DAMAR
ACNEMED;8995232702063;ACNEMED Acne Care Series Treatment 18gr;Miss Glam Damar;0.0;0.0;0.08;1.0;4.0;8.0;3.0;0.0;26557.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;8;9;3;0.0;1;3;1;2;3;26557.0;79671.0;11. Miss Glam Damar.xlsx;DAMAR
ACNEMED;8995232702124;ACNEMED Facial Wash For Oily Skin 100gr;Miss Glam Damar;0.0;0.0;0.1;1.0;4.0;8.0;3.0;0.0;30220.0;100.0;1.0;5;1;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;8;9;3;0.0;1;3;1;2;3;30220.0;90660.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Damar;12.0;0.0;0.86;4.0;3.0;14.0;3.0;12.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;57;26;13.953488372093023;1;2;0;2;3;0.0;79869.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Damar;15.0;0.0;1.37;5.0;3.0;14.0;3.0;20.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;66;71;42;10.94890510948905;1;7;0;7;7;0.0;111818.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Damar;42.0;0.0;1.41;6.0;3.0;14.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;80;85;43;29.787234042553195;1;1;0;1;3;0.0;76185.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Damar;21.0;0.0;1.32;5.0;3.0;14.0;3.0;15.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;67;71;40;15.909090909090908;1;4;0;4;4;0.0;60620.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Damar;41.0;0.0;0.9;5.0;3.0;14.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;68;71;27;45.55555555555556;0;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Damar;18.0;0.0;1.1;4.0;3.0;14.0;3.0;10.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;53;57;33;16.363636363636363;1;5;0;5;5;0.0;79870.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;Miss Glam Damar;3.0;0.0;0.05;1.0;3.0;14.0;3.0;0.0;50789.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;14;15;2;60.0;0;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Damar;11.0;0.0;0.76;3.0;3.0;14.0;3.0;11.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;43;23;14.473684210526315;1;1;0;1;3;0.0;79869.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Damar;4.0;0.0;1.03;4.0;3.0;14.0;3.0;15.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;53;57;31;3.883495145631068;1;12;1;11;11;15974.0;175714.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821100354;ACNES Oil Control Film isi 50;Miss Glam Damar;7.0;0.0;0.15;2.0;3.0;14.0;3.0;0.0;28671.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;28;29;5;46.66666666666667;0;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821100675;ACNES Point Clear Roll On 9ml;Miss Glam Damar;1.0;0.0;0.07;1.0;3.0;14.0;3.0;3.0;22937.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;14;15;3;14.285714285714285;1;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
ACNES;8992821101375;ACNES Pore Strips 3 Sheets;Miss Glam Damar;9.0;0.0;0.07;1.0;3.0;14.0;3.0;0.0;13107.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;14;15;3;128.57142857142856;0;0;0;0;0;0.0;0.0;11. Miss Glam Damar.xlsx;DAMAR
