Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Dr. Mansyur;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Dr. Mansyur;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Dr. Mansyur;5.0;0.0;0.86;4.0;4.0;9.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;37;26;5.813953488372093;1;18;0;18;18;0.0;479214.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Dr. Mansyur;10.0;0.0;1.37;5.0;4.0;9.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;46;42;7.2992700729927;1;29;0;29;29;0.0;463246.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Dr. Mansyur;3.0;0.0;1.41;6.0;4.0;9.0;3.0;7.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;49;55;43;2.127659574468085;1;33;4;29;29;101580.0;736455.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Dr. Mansyur;9.0;0.0;1.32;5.0;4.0;9.0;3.0;3.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;46;40;6.8181818181818175;1;28;0;28;28;0.0;424340.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Dr. Mansyur;3.0;0.0;0.9;5.0;4.0;9.0;3.0;4.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;42;46;27;3.333333333333333;1;20;1;19;19;26623.0;505837.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Dr. Mansyur;8.0;0.0;1.1;4.0;4.0;9.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;32;37;33;7.2727272727272725;1;22;0;22;22;0.0;351428.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821103492;ACNES Derma Care Anti Blemish Essence 20ml;Miss Glam Dr. Mansyur;1.0;0.0;0.03;1.0;4.0;9.0;3.0;0.0;65342.0;100.0;1.0;5;0;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;9;10;1;33.333333333333336;0;0;0;0;0;0.0;0.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;Miss Glam Dr. Mansyur;3.0;0.0;0.05;1.0;4.0;9.0;3.0;0.0;47692.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;9;10;2;60.0;0;0;0;0;0;0.0;0.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Dr. Mansyur;2.0;0.0;0.76;3.0;4.0;9.0;3.0;4.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;24;28;23;2.6315789473684212;1;17;1;16;16;26623.0;425968.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Dr. Mansyur;8.0;0.0;1.03;4.0;4.0;9.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;32;37;31;7.766990291262136;1;23;2;21;21;31948.0;335454.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821100361;ACNES Oil Control Mask 24ml;Miss Glam Dr. Mansyur;2.0;0.0;0.07;1.0;4.0;9.0;3.0;3.0;17308.0;100.0;1.0;5;0;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;9;10;3;28.57142857142857;1;0;0;0;0;0.0;0.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
ACNES;8992821102426;ACNES Oil Control Milk Cleanser 110ml;Miss Glam Dr. Mansyur;2.0;0.0;0.05;2.0;4.0;9.0;3.0;0.0;30000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;18;19;2;40.0;0;0;0;0;0;0.0;0.0;26. Miss Glam Dr. Mansyur.xlsx;DR. MANSYUR
