Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Duri;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;24. Miss Glam Duri.xlsx;DURI
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Duri;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Duri;11.0;0.0;0.86;4.0;3.0;9.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;34;37;26;12.790697674418604;1;15;0;15;15;0.0;399345.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Duri;7.0;0.0;1.37;5.0;3.0;9.0;3.0;5.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;41;46;42;5.10948905109489;1;30;0;30;30;0.0;479220.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Duri;4.0;0.0;1.41;6.0;3.0;9.0;3.0;9.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;50;55;43;2.8368794326241136;1;30;3;27;27;76185.0;685665.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Duri;7.0;0.0;1.32;5.0;3.0;9.0;3.0;5.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;42;46;40;5.303030303030303;1;28;0;28;28;0.0;424340.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Duri;5.0;0.0;0.9;5.0;3.0;9.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;43;46;27;5.555555555555555;1;19;0;19;19;0.0;505837.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Duri;18.0;0.0;1.1;4.0;3.0;9.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;37;33;16.363636363636363;1;15;0;15;15;0.0;239610.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821100293;ACNES Foaming Wash 100ml;Miss Glam Duri;7.0;0.0;0.03;1.0;3.0;9.0;3.0;0.0;32767.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;9;10;1;233.33333333333334;0;0;0;0;0;0.0;0.0;24. Miss Glam Duri.xlsx;DURI
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Duri;7.0;0.0;0.76;3.0;3.0;9.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;25;28;23;9.210526315789474;1;16;0;16;16;0.0;425968.0;24. Miss Glam Duri.xlsx;DURI
