Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10400614911;ACNAWAY 3 in 1 Acne Sun Serum Sunscreen Serum with SPF 50+ PA+++ ONLY FOR ACNE SKIN 50gr;Miss Glam Halat;1.0;0.0;0.03;1.0;6.0;23.0;1.0;0.0;56452.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;23;24;1;33.333333333333336;0;0;0;0;0;0.0;0.0;23. Miss Glam Halat.xlsx;HALAT
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Halat;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;23. Miss Glam Halat.xlsx;HALAT
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Halat;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Halat;5.0;0.0;0.86;4.0;4.0;11.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;41;45;26;5.813953488372093;1;18;0;18;18;0.0;479214.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Halat;11.0;0.0;1.37;5.0;4.0;11.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;50;56;42;8.02919708029197;1;28;0;28;28;0.0;447272.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Halat;7.0;0.0;1.32;5.0;4.0;11.0;3.0;6.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;50;56;40;5.303030303030303;1;27;0;27;27;0.0;409185.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Halat;3.0;0.0;0.9;5.0;4.0;11.0;3.0;5.0;26016.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;52;56;27;3.333333333333333;1;19;1;18;18;26016.0;468288.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Halat;4.0;0.0;1.1;4.0;4.0;11.0;3.0;7.0;15682.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;45;33;3.6363636363636362;1;22;1;21;21;15682.0;329322.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Halat;9.0;0.0;0.76;3.0;4.0;11.0;3.0;0.0;26278.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;30;34;23;11.842105263157894;1;14;0;14;14;0.0;367892.0;23. Miss Glam Halat.xlsx;HALAT
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Halat;11.0;0.0;1.03;4.0;4.0;11.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;45;31;10.679611650485437;1;20;1;19;19;15974.0;303506.0;23. Miss Glam Halat.xlsx;HALAT
