Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Jambi;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Jambi;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Jambi;0.0;0.0;0.75;4.0;4.0;20.0;1.0;0.0;33710.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;77;80;23;0.0;1;23;15;8;8;505650.0;269680.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Jambi;12.0;0.0;0.59;5.0;4.0;20.0;1.0;0.0;27420.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;98;101;18;20.33898305084746;1;6;0;6;6;0.0;164520.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Jambi;9.0;0.0;0.86;4.0;4.0;15.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;57;61;26;10.465116279069768;1;17;4;13;13;106492.0;346099.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Jambi;6.0;0.0;1.37;5.0;4.0;15.0;3.0;7.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;70;76;42;4.37956204379562;1;29;0;29;29;0.0;463246.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Jambi;15.0;0.0;1.41;6.0;4.0;15.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;85;91;43;10.638297872340425;1;28;7;21;21;177765.0;533295.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Jambi;14.0;0.0;1.32;5.0;4.0;15.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;70;76;40;10.606060606060606;1;26;6;20;20;90930.0;303100.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Jambi;6.0;0.0;0.9;5.0;4.0;15.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;72;76;27;6.666666666666666;1;18;0;18;18;0.0;479214.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Jambi;7.0;0.0;1.1;4.0;4.0;15.0;3.0;4.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;56;61;33;6.363636363636363;1;22;0;22;22;0.0;351428.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821103492;ACNES Derma Care Anti Blemish Essence 20ml;Miss Glam Jambi;6.0;0.0;0.02;1.0;4.0;15.0;3.0;0.0;66354.0;100.0;1.0;5;0;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;15;16;1;300.0;0;0;0;0;0;0.0;0.0;3. Miss Glam Jambi.xlsx;JAMBI
ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;Miss Glam Jambi;3.0;0.0;0.05;1.0;4.0;15.0;3.0;0.0;50789.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;15;16;2;60.0;0;0;0;0;0;0.0;0.0;3. Miss Glam Jambi.xlsx;JAMBI
