Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Lampung;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Lampung;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Lampung;14.0;0.0;0.75;4.0;5.0;27.0;1.0;0.0;31357.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;105;109;23;18.666666666666668;1;9;7;2;2;219499.0;62714.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Lampung;35.0;0.0;0.51;8.0;5.0;27.0;1.0;0.0;33887.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;214;217;16;68.62745098039215;0;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Lampung;6.0;0.0;0.59;5.0;5.0;27.0;1.0;0.0;32596.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;133;136;18;10.16949152542373;1;12;10;2;2;325960.0;65192.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Lampung;7.0;0.0;0.86;4.0;3.0;6.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;22;25;26;8.13953488372093;1;19;0;19;19;0.0;505837.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Lampung;8.0;0.0;1.37;5.0;3.0;6.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;31;42;5.839416058394161;1;34;1;33;33;15974.0;527142.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Lampung;12.0;0.0;1.41;6.0;3.0;6.0;3.0;0.0;25319.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;32;37;43;8.51063829787234;1;31;0;31;31;0.0;784889.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Lampung;3.0;0.0;1.32;5.0;3.0;6.0;3.0;3.0;15919.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;27;31;40;2.2727272727272725;1;34;3;31;31;47757.0;493489.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Lampung;2.0;0.0;0.9;5.0;3.0;6.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;28;31;27;2.2222222222222223;1;22;2;20;20;53246.0;532460.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Lampung;3.0;0.0;1.1;4.0;3.0;6.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;21;25;33;2.727272727272727;1;27;2;25;25;31948.0;399350.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;Miss Glam Lampung;7.0;0.0;0.05;1.0;3.0;6.0;3.0;0.0;50789.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;6;7;2;140.0;0;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100293;ACNES Foaming Wash 100ml;Miss Glam Lampung;2.0;0.0;0.03;1.0;3.0;6.0;3.0;0.0;31129.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;6;7;1;66.66666666666667;0;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Lampung;1.0;0.0;0.76;3.0;3.0;6.0;3.0;4.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;16;19;23;1.3157894736842106;1;18;2;16;16;53246.0;425968.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Lampung;6.0;0.0;1.03;4.0;3.0;6.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;21;25;31;5.825242718446602;1;25;1;24;24;15974.0;383376.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100354;ACNES Oil Control Film isi 50;Miss Glam Lampung;0.0;0.0;0.15;2.0;3.0;6.0;3.0;0.0;28671.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;12;13;5;0.0;1;5;1;4;4;28671.0;114684.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100415;ACNES Sealing Jell 9gr;Miss Glam Lampung;4.0;0.0;1.47;6.0;3.0;6.0;3.0;4.0;17612.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;32;37;45;2.7210884353741496;1;37;3;34;34;52836.0;598808.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100323;ACNES Sealing Jell Gel 18gr;Miss Glam Lampung;4.0;0.0;0.07;1.0;3.0;6.0;3.0;0.0;27852.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;6;7;3;57.14285714285714;0;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821101023;ACNES Soft Cotton 45gr;Miss Glam Lampung;39.0;0.0;0.8;4.0;3.0;6.0;3.0;0.0;6308.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;22;25;24;48.75;0;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100439;ACNES Spot Care 12gr;Miss Glam Lampung;11.0;0.0;0.66;3.0;3.0;6.0;3.0;0.0;31948.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;17;19;20;16.666666666666664;1;9;0;9;9;0.0;287532.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821103102;ACNES Starter Pack 3 Int 1;Miss Glam Lampung;2.0;0.0;0.12;2.0;3.0;6.0;3.0;0.0;29493.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;12;13;4;16.666666666666668;1;2;0;2;3;0.0;88479.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100378;ACNES Tea Tree Oil Clay Mask 50ml;Miss Glam Lampung;2.0;0.0;0.17;2.0;3.0;6.0;3.0;0.0;31948.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;12;13;6;11.76470588235294;1;4;0;4;4;0.0;127792.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821100996;ACNES Washing Bar 80gr;Miss Glam Lampung;7.0;0.0;0.25;3.0;3.0;6.0;3.0;0.0;8601.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;18;19;8;28.0;1;1;0;1;3;0.0;25803.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102631;ACNES Yoghurt Touch Face Wash  50gr;Miss Glam Lampung;5.0;0.0;0.49;2.0;3.0;6.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;11;13;15;10.204081632653061;1;10;0;10;10;0.0;159740.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNES;8992821102624;ACNES Yoghurt Touch Face Wash 100g;Miss Glam Lampung;4.0;0.0;0.36;2.0;3.0;6.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;11;13;11;11.11111111111111;1;7;0;7;7;0.0;186361.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNOL;8993035223730;ACNOL Gel For Acne Obat Jerawat 10gr;Miss Glam Lampung;2.0;0.0;0.2;2.0;1.0;2.0;3.0;0.0;18870.0;100.0;1.0;5;1;9844.0;116.0;PT. ENSEVAL PUTERA MEGATRADING - PPN (PDG);34.0;ACNOL;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;4;5;6;10.0;1;4;0;4;4;0.0;75480.0;7. Miss Glam Lampung.xlsx;LAMPUNG
ACNOL;8993035123368;ACNOL Lotion For Acne 10ml;Miss Glam Lampung;0.0;0.0;0.68;4.0;1.0;2.0;3.0;0.0;16650.0;100.0;1.0;5;1;9844.0;116.0;PT. ENSEVAL PUTERA MEGATRADING - PPN (PDG);34.0;ACNOL;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;8;9;21;0.0;1;21;2;19;19;33300.0;316350.0;7. Miss Glam Lampung.xlsx;LAMPUNG
AFTER MY SKIN;30100167233;AFTER MY SKIN Alpha Arbutin Collagen Brightening Body Wash Bar Soap 45gr;Miss Glam Lampung;0.0;0.0;0.52;2.0;5.0;27.0;1.0;0.0;37444.0;100.0;1.0;5;0;2917.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);2278.0;AFTER MY SKIN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;52;55;16;0.0;1;16;15;1;1;561660.0;37444.0;7. Miss Glam Lampung.xlsx;LAMPUNG
AHE;40100147222;AHE Hairfall Treatment Shampoo 300ml;Miss Glam Lampung;7.0;0.0;0.07;1.0;1.0;2.0;3.0;0.0;34183.0;100.0;1.0;5;1;0.0;;;0.0;0;0.0;;0.0;0.0;0.0;;;2;3;3;99.99999999999999;0;0;0;0;0;0.0;0.0;7. Miss Glam Lampung.xlsx;LAMPUNG
