Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Lubuk Linggau;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Lubuk Linggau;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Lubuk Linggau;4.0;0.0;0.75;4.0;4.0;21.0;1.0;0.0;33500.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;81;84;23;5.333333333333333;1;19;12;7;7;402000.0;234500.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Lubuk Linggau;0.0;0.0;0.59;5.0;4.0;21.0;1.0;0.0;33500.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;103;106;18;0.0;1;18;13;5;5;435500.0;167500.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Lubuk Linggau;17.0;0.0;0.86;4.0;4.0;18.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;69;73;26;19.767441860465116;1;9;0;9;9;0.0;239607.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Lubuk Linggau;18.0;0.0;1.37;5.0;4.0;18.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;85;91;42;13.13868613138686;1;24;7;17;17;111818.0;271558.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Lubuk Linggau;9.0;0.0;1.41;6.0;4.0;18.0;3.0;12.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;103;109;43;6.382978723404256;1;22;0;22;22;0.0;558690.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Lubuk Linggau;11.0;0.0;1.32;5.0;4.0;18.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;85;91;40;8.333333333333332;1;29;13;16;16;197015.0;242480.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Lubuk Linggau;5.0;0.0;0.9;5.0;4.0;18.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;87;91;27;5.555555555555555;1;19;0;19;19;0.0;505837.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Lubuk Linggau;6.0;0.0;1.1;4.0;4.0;18.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;68;73;33;5.454545454545454;1;24;0;24;24;0.0;383376.0;16. Miss Glam Lubuk Linggau.xlsx;LUBUK LINGGAU
