Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Marpoyan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Marpoyan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Marpoyan;8.0;0.0;0.29;3.0;4.0;20.0;1.0;0.0;31000.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;59;61;9;27.586206896551726;1;1;0;1;1;0.0;31000.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Marpoyan;0.0;0.0;0.75;4.0;4.0;20.0;1.0;0.0;31080.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;77;80;23;0.0;1;23;15;8;8;466200.0;248640.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNEMED;8995232702124;ACNEMED Facial Wash For Oily Skin 100gr;Miss Glam Marpoyan;0.0;0.0;0.1;1.0;1.0;2.0;3.0;0.0;30220.0;100.0;1.0;5;1;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;2;3;3;0.0;1;3;1;2;3;30220.0;90660.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Marpoyan;8.0;0.0;0.86;4.0;3.0;8.0;3.0;0.0;26617.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;30;33;26;9.30232558139535;1;18;0;18;18;0.0;479106.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Marpoyan;21.0;0.0;1.37;5.0;3.0;8.0;3.0;0.0;15967.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;36;41;42;15.32846715328467;1;21;0;21;21;0.0;335307.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Marpoyan;10.0;0.0;1.41;6.0;3.0;8.0;3.0;3.0;25374.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;44;49;43;7.092198581560284;1;30;0;30;30;0.0;761220.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Marpoyan;11.0;0.0;1.32;5.0;3.0;8.0;3.0;3.0;15149.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;37;41;40;8.333333333333332;1;26;0;26;26;0.0;393874.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Marpoyan;8.0;0.0;0.9;5.0;3.0;8.0;3.0;3.0;26595.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;38;41;27;8.88888888888889;1;16;0;16;16;0.0;425520.0;29. Miss Glam Marpoyan.xlsx;MARPOYAN
