Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Mayang;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Mayang;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Mayang;0.0;0.0;0.75;4.0;4.0;9.0;1.0;0.0;33725.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;33;36;23;0.0;1;23;7;16;16;236075.0;539600.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Mayang;0.0;0.0;0.59;5.0;4.0;9.0;1.0;0.0;32445.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;43;46;18;0.0;1;18;6;12;12;194670.0;389340.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Mayang;5.0;0.0;0.86;4.0;5.0;11.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;45;26;5.813953488372093;1;21;5;16;16;133115.0;425968.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Mayang;5.0;0.0;1.37;5.0;5.0;11.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;49;56;42;3.64963503649635;1;34;1;33;33;15974.0;527142.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Mayang;16.0;0.0;1.41;6.0;5.0;11.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;59;67;43;11.347517730496454;1;27;0;27;27;0.0;685665.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Mayang;8.0;0.0;1.32;5.0;5.0;11.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;49;56;40;6.0606060606060606;1;32;7;25;25;106085.0;378875.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Mayang;12.0;0.0;0.9;5.0;5.0;11.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;51;56;27;13.333333333333332;1;15;0;15;15;0.0;399345.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Mayang;5.0;0.0;1.1;4.0;5.0;11.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;39;45;33;4.545454545454545;1;25;0;25;25;0.0;399350.0;31. Miss Glam Mayang.xlsx;MAYANG
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Mayang;16.0;0.0;0.76;3.0;5.0;11.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;30;34;23;21.05263157894737;1;7;0;7;7;0.0;186361.0;31. Miss Glam Mayang.xlsx;MAYANG
