Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10400614911;ACNAWAY 3 in 1 Acne Sun Serum Sunscreen Serum with SPF 50+ PA+++ ONLY FOR ACNE SKIN 50gr;Miss Glam Medan;6.0;0.0;0.03;1.0;5.0;28.0;1.0;0.0;58524.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;28;29;1;200.0;0;0;0;0;0;0.0;0.0;9. Miss Glam Medan.xlsx;MEDAN
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Medan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;9. Miss Glam Medan.xlsx;MEDAN
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Medan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;9. Miss Glam Medan.xlsx;MEDAN
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Medan;12.0;0.0;0.27;3.0;5.0;28.0;1.0;0.0;31000.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;83;85;9;44.44444444444444;0;0;0;0;0;0.0;0.0;9. Miss Glam Medan.xlsx;MEDAN
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Medan;0.0;0.0;0.75;4.0;5.0;28.0;1.0;0.0;31959.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;109;113;23;0.0;1;23;21;2;2;671139.0;63918.0;9. Miss Glam Medan.xlsx;MEDAN
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Medan;8.0;0.0;0.86;4.0;5.0;12.0;3.0;4.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;44;49;26;9.30232558139535;1;14;0;14;14;0.0;372722.0;9. Miss Glam Medan.xlsx;MEDAN
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Medan;0.0;0.0;1.37;5.0;5.0;12.0;3.0;19.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;61;42;0.0;1;23;6;17;17;95844.0;271558.0;9. Miss Glam Medan.xlsx;MEDAN
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Medan;4.0;0.0;1.41;6.0;5.0;12.0;3.0;12.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;65;73;43;2.8368794326241136;1;27;3;24;24;76185.0;609480.0;9. Miss Glam Medan.xlsx;MEDAN
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Medan;6.0;0.0;1.32;5.0;5.0;12.0;3.0;11.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;61;40;4.545454545454545;1;23;0;23;23;0.0;348565.0;9. Miss Glam Medan.xlsx;MEDAN
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Medan;8.0;0.0;0.9;5.0;5.0;12.0;3.0;5.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;56;61;27;8.88888888888889;1;14;0;14;14;0.0;372722.0;9. Miss Glam Medan.xlsx;MEDAN
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Medan;2.0;0.0;1.1;4.0;5.0;12.0;3.0;12.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;43;49;33;1.8181818181818181;1;19;3;16;16;47922.0;255584.0;9. Miss Glam Medan.xlsx;MEDAN
