Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Muaro Bungo;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Muaro Bungo;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Muaro Bungo;4.0;0.0;0.75;4.0;6.0;22.0;1.0;0.0;30601.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;84;89;23;5.333333333333333;1;19;13;6;6;397813.0;183606.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Muaro Bungo;5.0;0.0;0.51;8.0;6.0;22.0;1.0;0.0;32300.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;173;177;16;9.803921568627452;1;11;7;4;4;226100.0;129200.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Muaro Bungo;23.0;0.0;0.59;5.0;6.0;22.0;1.0;0.0;32300.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;107;111;18;38.983050847457626;0;0;0;0;0;0.0;0.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Muaro Bungo;8.0;0.0;0.86;4.0;5.0;14.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;52;57;26;9.30232558139535;1;15;0;15;15;0.0;399345.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Muaro Bungo;7.0;0.0;1.37;5.0;5.0;14.0;3.0;9.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;64;71;42;5.10948905109489;1;26;0;26;26;0.0;415324.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Muaro Bungo;13.0;0.0;1.41;6.0;5.0;14.0;3.0;4.0;26179.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;77;85;43;9.21985815602837;1;26;0;26;26;0.0;680654.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Muaro Bungo;63.0;0.0;1.32;5.0;5.0;14.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;64;71;40;47.72727272727273;0;0;0;0;0;0.0;0.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Muaro Bungo;3.0;0.0;0.9;5.0;5.0;14.0;3.0;12.0;27338.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;66;71;27;3.333333333333333;1;12;1;11;11;27338.0;300718.0;6. Miss Glam Muaro Bungo.xlsx;MUARO BUNGO
