Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam P. Sidimpuan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam P. Sidimpuan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam P. Sidimpuan;13.0;0.0;0.19;1.0;7.0;22.0;1.0;0.0;0.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;21;23;6;68.42105263157895;0;0;0;0;0;0.0;0.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam P. Sidimpuan;3.0;0.0;0.86;4.0;5.0;13.0;3.0;4.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;48;53;26;3.488372093023256;1;19;1;18;18;26623.0;479214.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam P. Sidimpuan;9.0;0.0;1.37;5.0;5.0;13.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;59;66;42;6.56934306569343;1;30;0;30;30;0.0;479220.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam P. Sidimpuan;18.0;0.0;1.32;5.0;5.0;13.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;59;66;40;13.636363636363635;1;22;0;22;22;0.0;333410.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam P. Sidimpuan;9.0;0.0;0.9;5.0;5.0;13.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;61;66;27;10.0;1;18;3;15;15;79869.0;399345.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam P. Sidimpuan;4.0;0.0;0.76;3.0;5.0;13.0;3.0;4.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;36;40;23;5.2631578947368425;1;15;0;15;15;0.0;399345.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam P. Sidimpuan;7.0;0.0;1.03;4.0;5.0;13.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;47;53;31;6.796116504854369;1;21;0;21;21;0.0;335454.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
ACNES;8992821100361;ACNES Oil Control Mask 24ml;Miss Glam P. Sidimpuan;5.0;0.0;0.15;2.0;5.0;13.0;3.0;3.0;18432.0;100.0;1.0;5;0;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;27;5;33.333333333333336;0;0;0;0;0;0.0;0.0;27. Miss Glam P. Sidimpuan.xlsx;P. SIDIMPUAN
