Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam P. Sidimpuan;13.0;0.0;0.19;1.0;7.0;22.0;1.0;0.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;21;23;6;68.42105263157895;0;0;0;0;0;0.0;0.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam P. Sidimpuan;3.0;0.0;0.19;1.0;5.0;13.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;13;14;6;15.789473684210526;1;3;0;3;3;0.0;79869.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam P. Sidimpuan;10.0;0.0;0.24;2.0;5.0;13.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;25;27;8;41.66666666666667;0;0;0;0;0;0.0;0.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam P. Sidimpuan;18.0;0.0;0.36;2.0;5.0;13.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;25;27;11;50.0;0;0;0;0;0;0.0;0.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam P. Sidimpuan;10.0;0.0;0.25;2.0;5.0;13.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;25;27;8;40.0;0;0;0;0;0;0.0;0.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam P. Sidimpuan;4.0;0.0;0.14;2.0;5.0;13.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;27;5;28.57142857142857;1;1;0;1;3;0.0;79869.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam P. Sidimpuan;7.0;0.0;0.17;2.0;5.0;13.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;27;6;41.17647058823529;0;0;0;0;0;0.0;0.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821100361;ACNES Oil Control Mask 24ml;Miss Glam P. Sidimpuan;5.0;0.0;0.19;2.0;5.0;13.0;3.0;0.0;18432.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;27;6;26.31578947368421;1;1;0;1;3;0.0;55296.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821100415;ACNES Sealing Jell 9gr;Miss Glam P. Sidimpuan;1.0;0.0;0.27;2.0;5.0;13.0;3.0;9.0;17612.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;25;27;9;3.7037037037037033;1;0;0;0;0;0.0;0.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
ACNES;8992821100323;ACNES Sealing Jell Gel 18gr;Miss Glam P. Sidimpuan;4.0;0.0;0.14;1.0;5.0;13.0;3.0;0.0;27852.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;13;14;5;28.57142857142857;1;1;0;1;3;0.0;83556.0;27. Miss Glam Padang Sidimpuan.xlsx;PADANG SIDIMPUAN
