Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Palembang;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Palembang;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Palembang;0.0;0.0;0.75;4.0;4.0;24.0;1.0;0.0;33500.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;93;96;23;0.0;1;23;18;5;5;603000.0;167500.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Palembang;16.0;0.0;0.86;4.0;3.0;7.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;26;29;26;18.6046511627907;1;10;0;10;10;0.0;266230.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Palembang;11.0;0.0;1.37;5.0;3.0;7.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;31;36;42;8.02919708029197;1;31;0;31;31;0.0;495194.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Palembang;5.0;0.0;1.41;6.0;3.0;7.0;3.0;7.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;38;43;43;3.546099290780142;1;31;2;29;29;50790.0;736455.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Palembang;1.0;0.0;1.32;5.0;3.0;7.0;3.0;8.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;32;36;40;0.7575757575757576;1;31;5;26;26;75775.0;394030.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Palembang;1.0;0.0;0.9;5.0;3.0;7.0;3.0;6.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;36;27;1.1111111111111112;1;20;3;17;17;79869.0;452591.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Palembang;7.0;0.0;1.1;4.0;3.0;7.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;25;29;33;6.363636363636363;1;23;0;23;23;0.0;367402.0;10. Miss Glam Palembang.xlsx;PALEMBANG
ACNES;8992821103492;ACNES Derma Care Anti Blemish Essence 20ml;Miss Glam Palembang;3.0;0.0;0.02;0.0;3.0;7.0;3.0;0.0;66354.0;100.0;1.0;5;0;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;0;1;1;150.0;0;0;0;0;0;0.0;0.0;10. Miss Glam Palembang.xlsx;PALEMBANG
