Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Panam;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;5. Miss Glam Panam.xlsx;PANAM
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Panam;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;5. Miss Glam Panam.xlsx;PANAM
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Panam;0.0;0.0;0.75;4.0;6.0;27.0;1.0;0.0;31930.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;104;109;23;0.0;1;23;21;2;2;670530.0;63860.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Panam;17.0;0.0;0.86;4.0;3.0;14.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;57;26;19.767441860465116;1;9;0;9;9;0.0;239607.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Panam;9.0;0.0;1.37;5.0;3.0;14.0;3.0;10.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;66;71;42;6.56934306569343;1;23;0;23;23;0.0;367402.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Panam;46.0;0.0;1.41;6.0;3.0;14.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;80;85;43;32.62411347517731;0;0;0;0;0;0.0;0.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Panam;51.0;0.0;1.32;5.0;3.0;14.0;3.0;0.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;67;71;40;38.63636363636363;0;0;0;0;0;0.0;0.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Panam;15.0;0.0;0.9;5.0;3.0;14.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;68;71;27;16.666666666666668;1;12;0;12;12;0.0;319476.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Panam;34.0;0.0;1.1;4.0;3.0;14.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;53;57;33;30.909090909090907;0;0;0;0;0;0.0;0.0;5. Miss Glam Panam.xlsx;PANAM
ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;Miss Glam Panam;6.0;0.0;0.05;1.0;3.0;14.0;3.0;0.0;50789.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;14;15;2;120.0;0;0;0;0;0;0.0;0.0;5. Miss Glam Panam.xlsx;PANAM
