Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10400614911;ACNAWAY 3 in 1 Acne Sun Serum Sunscreen Serum with SPF 50+ PA+++ ONLY FOR ACNE SKIN 50gr;Miss Glam Pasaman Barat;0.0;0.0;0.06;2.0;7.0;25.0;1.0;0.0;51554.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;50;51;2;0.0;1;2;2;0;0;103108.0;0.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Pasaman Barat;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Pasaman Barat;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Pasaman Barat;10.0;0.0;0.86;4.0;2.0;14.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;55;57;26;11.627906976744185;1;16;3;13;13;79869.0;346099.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Pasaman Barat;4.0;0.0;1.37;5.0;2.0;14.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;68;71;42;2.9197080291970803;1;35;2;33;33;31948.0;527142.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Pasaman Barat;14.0;0.0;1.41;6.0;2.0;14.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;82;85;43;9.929078014184398;1;29;6;23;23;152370.0;584085.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Pasaman Barat;2.0;0.0;1.32;5.0;2.0;14.0;3.0;3.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;68;71;40;1.5151515151515151;1;35;4;31;31;60620.0;469805.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Pasaman Barat;1.0;0.0;0.9;5.0;2.0;14.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;69;71;27;1.1111111111111112;1;23;3;20;20;79869.0;532460.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Pasaman Barat;12.0;0.0;1.1;4.0;2.0;14.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;57;33;10.909090909090908;1;21;4;17;17;63896.0;271558.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Pasaman Barat;2.0;0.0;0.76;3.0;2.0;14.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;41;43;23;2.6315789473684212;1;18;1;17;17;26623.0;452591.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Pasaman Barat;8.0;0.0;1.03;4.0;2.0;14.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;57;31;7.766990291262136;1;23;7;16;16;111818.0;255584.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
ACNES;8992821100354;ACNES Oil Control Film isi 50;Miss Glam Pasaman Barat;5.0;0.0;0.15;2.0;2.0;14.0;3.0;0.0;28422.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;28;29;5;33.333333333333336;0;0;0;0;0;0.0;0.0;22. Miss Glam Pasaman Barat.xlsx;PASAMAN BARAT
