Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10400614911;ACNAWAY 3 in 1 Acne Sun Serum Sunscreen Serum with SPF 50+ PA+++ ONLY FOR ACNE SKIN 50gr;Miss Glam Payakumbuh;0.0;0.0;0.14;1.0;5.0;31.0;1.0;0.0;31317.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;31;32;5;0.0;1;5;5;0;0;156585.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Payakumbuh;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Payakumbuh;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Payakumbuh;2.0;0.0;0.15;1.0;5.0;31.0;1.0;0.0;31721.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;31;32;5;13.333333333333334;1;3;3;0;0;95163.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Payakumbuh;0.0;0.0;0.75;4.0;5.0;31.0;1.0;0.0;31930.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;121;125;23;0.0;1;23;24;0;0;766320.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Payakumbuh;8.0;0.0;0.51;8.0;5.0;31.0;1.0;0.0;33889.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;246;249;16;15.686274509803921;1;8;8;0;0;271112.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Payakumbuh;11.0;0.0;0.59;5.0;5.0;31.0;1.0;0.0;31771.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;153;156;18;18.64406779661017;1;7;8;0;0;254168.0;0.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNEMED;8995232702551;ACNEMED Blemish Spot 12g;Miss Glam Payakumbuh;1.0;0.0;0.05;1.0;4.0;4.0;3.0;0.0;27473.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;4;5;2;20.0;1;1;0;1;3;0.0;82419.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNEMED;8995232702124;ACNEMED Facial Wash For Oily Skin 100gr;Miss Glam Payakumbuh;0.0;0.0;0.1;1.0;4.0;4.0;3.0;0.0;30220.0;100.0;1.0;5;1;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;4;5;3;0.0;1;3;1;2;3;30220.0;90660.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Payakumbuh;12.0;0.0;0.86;4.0;4.0;8.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;29;33;26;13.953488372093023;1;11;0;11;11;0.0;292853.0;13. Miss Glam Payakumbuh.xlsx;PAYAKUMBUH
