Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Rantau Prapat;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Rantau Prapat;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Rantau Prapat;0.0;0.0;0.75;4.0;6.0;23.0;1.0;0.0;33651.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;88;93;23;0.0;1;23;18;5;5;605718.0;168255.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Rantau Prapat;9.0;0.0;0.86;4.0;5.0;12.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;44;49;26;10.465116279069768;1;17;2;15;15;53246.0;399345.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Rantau Prapat;8.0;0.0;1.37;5.0;5.0;12.0;3.0;4.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;61;42;5.839416058394161;1;30;0;30;30;0.0;479220.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Rantau Prapat;24.0;0.0;1.41;6.0;5.0;12.0;3.0;0.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;65;73;43;17.02127659574468;1;19;0;19;19;0.0;482505.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Rantau Prapat;6.0;0.0;1.32;5.0;5.0;12.0;3.0;5.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;54;61;40;4.545454545454545;1;29;0;29;29;0.0;439495.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Rantau Prapat;11.0;0.0;0.9;5.0;5.0;12.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;56;61;27;12.222222222222221;1;16;0;16;16;0.0;425968.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Rantau Prapat;4.0;0.0;1.1;4.0;5.0;12.0;3.0;4.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;43;49;33;3.6363636363636362;1;25;1;24;24;15974.0;383376.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Rantau Prapat;8.0;0.0;0.76;3.0;5.0;12.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;37;23;10.526315789473685;1;15;2;13;13;53246.0;346099.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Rantau Prapat;24.0;0.0;1.03;4.0;5.0;12.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;43;49;31;23.300970873786408;1;7;0;7;7;0.0;111818.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821100354;ACNES Oil Control Film isi 50;Miss Glam Rantau Prapat;4.0;0.0;0.15;2.0;5.0;12.0;3.0;0.0;28671.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;24;25;5;26.666666666666668;1;1;0;1;3;0.0;86013.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821100361;ACNES Oil Control Mask 24ml;Miss Glam Rantau Prapat;10.0;0.0;0.02;1.0;5.0;12.0;3.0;0.0;18432.0;100.0;1.0;5;0;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;12;13;1;500.0;0;0;0;0;0;0.0;0.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821100675;ACNES Point Clear Roll On 9ml;Miss Glam Rantau Prapat;1.0;0.0;0.07;1.0;5.0;12.0;3.0;0.0;22937.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;12;13;3;14.285714285714285;1;2;0;2;3;0.0;68811.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
ACNES;8992821100415;ACNES Sealing Jell 9gr;Miss Glam Rantau Prapat;24.0;0.0;1.47;6.0;5.0;12.0;3.0;0.0;17612.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;65;73;45;16.3265306122449;1;21;0;21;21;0.0;369852.0;19. Miss Glam Rantau Prapat.xlsx;RANTAU PRAPAT
