Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Sei Penuh;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Sei Penuh;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Sei Penuh;0.0;0.0;0.75;4.0;7.0;23.0;1.0;0.0;33000.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;87;93;23;0.0;1;23;18;5;5;594000.0;165000.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Sei Penuh;12.0;0.0;0.59;5.0;7.0;23.0;1.0;0.0;30928.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;111;116;18;20.33898305084746;1;6;2;4;4;61856.0;123712.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Sei Penuh;1.0;0.0;0.86;4.0;5.0;17.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;64;69;26;1.1627906976744187;1;22;3;19;19;79869.0;505837.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Sei Penuh;6.0;0.0;1.37;5.0;5.0;17.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;79;86;42;4.37956204379562;1;33;0;33;33;0.0;527142.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Sei Penuh;3.0;0.0;1.41;6.0;5.0;17.0;3.0;4.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;95;103;43;2.127659574468085;1;36;4;32;32;101580.0;812640.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Sei Penuh;4.0;0.0;1.32;5.0;5.0;17.0;3.0;4.0;15155.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;79;86;40;3.0303030303030303;1;32;2;30;30;30310.0;454650.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Sei Penuh;1.0;0.0;0.9;5.0;5.0;17.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;81;86;27;1.1111111111111112;1;23;3;20;20;79869.0;532460.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Sei Penuh;10.0;0.0;1.1;4.0;5.0;17.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;63;69;33;9.09090909090909;1;23;9;14;14;143766.0;223636.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Sei Penuh;5.0;0.0;0.76;3.0;5.0;17.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;48;52;23;6.578947368421052;1;15;0;15;15;0.0;399345.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Sei Penuh;1.0;0.0;1.03;4.0;5.0;17.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;63;69;31;0.970873786407767;1;27;4;23;23;63896.0;367402.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821101375;ACNES Pore Strips 3 Sheets;Miss Glam Sei Penuh;13.0;0.0;0.07;1.0;5.0;17.0;3.0;0.0;13107.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;17;18;3;185.7142857142857;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821100415;ACNES Sealing Jell 9gr;Miss Glam Sei Penuh;2.0;0.0;1.47;6.0;5.0;17.0;3.0;4.0;17612.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;95;103;45;1.3605442176870748;1;39;5;34;34;88060.0;598808.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821101023;ACNES Soft Cotton 45gr;Miss Glam Sei Penuh;11.0;0.0;0.8;4.0;5.0;17.0;3.0;0.0;6308.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;64;68;24;13.75;1;13;3;10;10;18924.0;63080.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821100439;ACNES Spot Care 12gr;Miss Glam Sei Penuh;6.0;0.0;0.66;3.0;5.0;17.0;3.0;0.0;31948.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;48;52;20;9.09090909090909;1;14;6;8;8;191688.0;255584.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821103102;ACNES Starter Pack 3 Int 1;Miss Glam Sei Penuh;10.0;0.0;0.12;2.0;5.0;17.0;3.0;0.0;29490.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;34;35;4;83.33333333333334;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821100996;ACNES Washing Bar 80gr;Miss Glam Sei Penuh;8.0;0.0;0.25;3.0;5.0;17.0;3.0;0.0;8601.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;50;52;8;32.0;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNES;8992821102624;ACNES Yoghurt Touch Face Wash 100g;Miss Glam Sei Penuh;2.0;0.0;0.36;2.0;5.0;17.0;3.0;3.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;35;11;5.555555555555555;1;6;0;6;6;0.0;159738.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNOL;8993035223730;ACNOL Gel For Acne Obat Jerawat 10gr;Miss Glam Sei Penuh;2.0;0.0;0.2;2.0;1.0;2.0;3.0;0.0;18870.0;100.0;1.0;5;1;9844.0;116.0;PT. ENSEVAL PUTERA MEGATRADING - PPN (PDG);34.0;ACNOL;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;4;5;6;10.0;1;4;0;4;4;0.0;75480.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ACNOL;8993035123368;ACNOL Lotion For Acne 10ml;Miss Glam Sei Penuh;0.0;0.0;0.68;4.0;1.0;2.0;3.0;0.0;16650.0;100.0;1.0;5;1;9844.0;116.0;PT. ENSEVAL PUTERA MEGATRADING - PPN (PDG);34.0;ACNOL;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;8;9;21;0.0;1;21;2;19;19;33300.0;316350.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AFTER MY SKIN;30100167233;AFTER MY SKIN Alpha Arbutin Collagen Brightening Body Wash Bar Soap 45gr;Miss Glam Sei Penuh;0.0;0.0;0.23;2.0;7.0;23.0;1.0;0.0;33500.0;100.0;1.0;5;0;2917.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);2278.0;AFTER MY SKIN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;45;47;7;0.0;1;7;6;1;1;201000.0;33500.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;10700324851;AMATERASUN Lip Balm Spf 20 Pa+++ 4,5gr;Miss Glam Sei Penuh;10.0;0.0;0.31;2.0;8.0;18.0;3.0;0.0;29640.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;34;37;10;32.25806451612903;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;20300441527;AMATERASUN Lipgloss SPF29 PA++ Pink 3,8gr;Miss Glam Sei Penuh;2.0;0.0;0.03;1.0;8.0;18.0;3.0;0.0;52440.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;18;19;1;66.66666666666667;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;8991752006148;AMATERASUN Physical Sunscreen SPF 50+ PA+++ 30gr;Miss Glam Sei Penuh;21.0;0.0;0.93;5.0;8.0;18.0;3.0;0.0;60040.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;83;91;28;22.58064516129032;1;7;0;7;7;0.0;420280.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;8991752004410;AMATERASUN UV Body Sunscreen SPF 40 100gr;Miss Glam Sei Penuh;4.0;0.0;0.05;1.0;8.0;18.0;3.0;0.0;75240.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;18;19;2;80.0;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;10400614055;AMATERASUN UV Skin Tint SPF 35 PA++ Light 25gr ;Miss Glam Sei Penuh;6.0;0.0;0.14;2.0;8.0;18.0;3.0;0.0;70310.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;35;37;5;42.857142857142854;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;10400614121;AMATERASUN UV Skin Tint SPF 35 PA++ Medium 25gr ;Miss Glam Sei Penuh;15.0;0.0;0.31;3.0;8.0;18.0;3.0;0.0;67640.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;52;55;10;48.38709677419355;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;8991752004144;AMATERASUN Uv Sunscreen Cream Spf 50+ 50gr;Miss Glam Sei Penuh;2.0;0.0;0.47;3.0;8.0;18.0;3.0;0.0;44840.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;51;55;15;4.25531914893617;1;13;7;6;6;313880.0;269040.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;8991752004670;AMATERASUN Uv Sunscreen Serum Spf 50+ 50gr;Miss Glam Sei Penuh;33.0;0.0;0.73;3.0;8.0;18.0;3.0;0.0;52440.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;49;55;22;45.205479452054796;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
AMATERASUN;10400515311;AMATERASUN Uv Waterbarrier Sunscreen SPF 35 PA++++ 40gr;Miss Glam Sei Penuh;9.0;0.0;0.73;4.0;8.0;18.0;1.0;0.0;29640.0;100.0;1.0;5;1;12431.0;3502.0;PT. SAI - PPN (PDG);1806.0;AMATERASUN;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;67;73;22;12.32876712328767;1;13;5;8;8;148200.0;237120.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ANIMATE;10200513323;ANIMATE 5x Active Whitening Series 5 in 1 Pack;Miss Glam Sei Penuh;5.0;0.0;0.15;2.0;5.0;17.0;3.0;0.0;79200.0;100.0;1.0;5;1;317.0;107.0;CV. DAHLIA - PPN (PDG) ;1520.0;ANIMATE;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;34;35;5;33.333333333333336;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ANIMATE;10600404843;ANIMATE Acne Solution Series ;Miss Glam Sei Penuh;4.0;0.0;0.07;1.0;5.0;17.0;3.0;0.0;87200.0;100.0;1.0;5;0;317.0;107.0;CV. DAHLIA - PPN (PDG) ;1520.0;ANIMATE;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;17;18;3;57.14285714285714;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ANIMATE;10200516756;ANIMATE By Yunna Mercier Miraculous Dark Spot 5 In 1 Series ;Miss Glam Sei Penuh;5.0;0.0;0.07;1.0;5.0;17.0;3.0;0.0;103200.0;100.0;1.0;5;1;317.0;107.0;CV. DAHLIA - PPN (PDG) ;1520.0;ANIMATE;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;17;18;3;71.42857142857142;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
ANIMATE;8993883370013;ANIMATE Facial Essence Instan Whitening 60capsules;Miss Glam Sei Penuh;7.0;0.0;0.2;2.0;5.0;17.0;3.0;0.0;15120.0;100.0;1.0;5;1;317.0;107.0;CV. DAHLIA - PPN (PDG) ;1520.0;ANIMATE;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;34;6;35.0;0;0;0;0;0;0.0;0.0;30. Miss Glam Sei Penuh.xlsx;SEI PENUH
