Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;10100824612;ACNAWAY Mugwort Acne Clear Bar Soap 100gr;Miss Glam Soeta;8.0;0.0;0.03;1.0;4.0;15.0;1.0;0.0;32445.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;15;16;1;266.6666666666667;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Soeta;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Soeta;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Soeta;3.0;0.0;0.16;1.0;4.0;15.0;1.0;0.0;32445.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;15;16;5;18.75;1;2;0;2;2;0.0;64890.0;32. Miss Glam Soeta.xlsx;SOETA
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Soeta;0.0;0.0;0.42;2.0;4.0;15.0;1.0;0.0;31930.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;29;31;13;0.0;1;13;7;6;6;223510.0;191580.0;32. Miss Glam Soeta.xlsx;SOETA
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Soeta;30.0;0.0;0.42;6.0;4.0;15.0;1.0;0.0;33887.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;89;91;13;71.42857142857143;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Soeta;2.0;0.0;0.29;3.0;4.0;15.0;1.0;0.0;32445.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;44;46;9;6.8965517241379315;1;7;3;4;4;97335.0;129780.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Soeta;5.0;0.0;0.18;1.0;1.0;2.0;3.0;0.0;25000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;6;27.77777777777778;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Soeta;5.0;0.0;0.18;1.0;1.0;2.0;3.0;0.0;15000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;6;27.77777777777778;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Soeta;16.0;0.0;0.21;3.0;1.0;2.0;3.0;0.0;23846.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;6;7;7;76.19047619047619;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Soeta;14.0;0.0;0.26;2.0;1.0;2.0;3.0;0.0;14924.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;4;5;8;53.84615384615385;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Soeta;6.0;0.0;0.16;1.0;1.0;2.0;3.0;0.0;25000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;5;37.5;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Soeta;17.0;0.0;0.18;1.0;1.0;2.0;3.0;0.0;15000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;6;94.44444444444444;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Soeta;9.0;0.0;0.08;1.0;1.0;2.0;3.0;0.0;25000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;3;112.5;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Soeta;16.0;0.0;0.21;2.0;1.0;2.0;3.0;0.0;15000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;4;5;7;76.19047619047619;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100354;ACNES Oil Control Film isi 50;Miss Glam Soeta;2.0;0.0;0.11;2.0;1.0;2.0;3.0;3.0;26923.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;4;5;4;18.181818181818183;1;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100675;ACNES Point Clear Roll On 9ml;Miss Glam Soeta;5.0;0.0;0.03;1.0;1.0;2.0;3.0;0.0;21538.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;1;166.66666666666669;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100415;ACNES Sealing Jell 9gr;Miss Glam Soeta;38.0;0.0;0.26;2.0;1.0;2.0;3.0;0.0;16538.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;4;5;8;146.15384615384616;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100323;ACNES Sealing Jell Gel 18gr;Miss Glam Soeta;7.0;0.0;0.13;2.0;1.0;2.0;3.0;0.0;26154.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;4;5;4;53.84615384615385;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821101023;ACNES Soft Cotton 45gr;Miss Glam Soeta;34.0;0.0;0.37;2.0;1.0;2.0;3.0;0.0;5923.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;4;5;12;91.89189189189189;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100439;ACNES Spot Care 12gr;Miss Glam Soeta;6.0;0.0;0.16;1.0;1.0;2.0;3.0;0.0;30000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;5;37.5;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100378;ACNES Tea Tree Oil Clay Mask 50ml;Miss Glam Soeta;5.0;0.0;0.03;1.0;1.0;2.0;3.0;0.0;30000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;1;166.66666666666669;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821100996;ACNES Washing Bar 80gr;Miss Glam Soeta;12.0;0.0;0.16;1.0;1.0;2.0;3.0;0.0;8077.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;5;75.0;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102631;ACNES Yoghurt Touch Face Wash  50gr;Miss Glam Soeta;7.0;0.0;0.13;1.0;1.0;2.0;3.0;0.0;15731.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;4;53.84615384615385;0;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
ACNES;8992821102624;ACNES Yoghurt Touch Face Wash 100g;Miss Glam Soeta;2.0;0.0;0.11;1.0;1.0;2.0;3.0;3.0;25000.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;2;3;4;18.181818181818183;1;0;0;0;0;0.0;0.0;32. Miss Glam Soeta.xlsx;SOETA
