Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Solok;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Solok;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Solok;12.0;0.0;0.75;4.0;5.0;25.0;1.0;0.0;31930.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;97;101;23;16.0;1;11;7;4;4;223510.0;127720.0;14. Miss Glam Solok.xlsx;SOLOK
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Solok;4.0;0.0;0.51;8.0;5.0;25.0;1.0;0.0;33839.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;198;201;16;7.8431372549019605;1;12;9;3;3;304551.0;101517.0;14. Miss Glam Solok.xlsx;SOLOK
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Solok;20.0;0.0;0.59;5.0;5.0;25.0;1.0;0.0;32445.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;123;126;18;33.898305084745765;0;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
ACNEMED;8995232702179;ACNEMED Acne Care Gel 5g;Miss Glam Solok;0.0;0.0;0.08;2.0;1.0;2.0;3.0;0.0;13736.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;4;5;3;0.0;1;3;1;2;3;13736.0;41208.0;14. Miss Glam Solok.xlsx;SOLOK
ACNEMED;8995232702063;ACNEMED Acne Care Series Treatment 18gr;Miss Glam Solok;3.0;0.0;0.05;1.0;1.0;2.0;3.0;0.0;26557.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;2;3;2;60.0;0;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
ACNEMED;8995232702551;ACNEMED Blemish Spot 12g;Miss Glam Solok;4.0;0.0;0.05;1.0;1.0;2.0;3.0;0.0;27473.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;2;3;2;80.0;0;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
ACNEMED;8995232702124;ACNEMED Facial Wash For Oily Skin 100gr;Miss Glam Solok;5.0;0.0;0.1;1.0;1.0;2.0;3.0;0.0;30220.0;100.0;1.0;5;1;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;2;3;3;50.0;0;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Solok;27.0;0.0;0.86;4.0;2.0;6.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;23;25;26;31.3953488372093;0;0;0;0;0;0.0;0.0;14. Miss Glam Solok.xlsx;SOLOK
