Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Sutomo;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Sutomo;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;Miss Glam Sutomo;5.0;0.0;0.1;2.0;4.0;22.0;1.0;0.0;32556.0;100.0;1.0;5;0;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;44;45;3;50.0;0;0;0;0;0;0.0;0.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Sutomo;1.0;0.0;0.75;4.0;4.0;22.0;1.0;0.0;31930.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;85;88;23;1.3333333333333333;1;22;16;6;6;510880.0;191580.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Sutomo;15.0;0.0;0.59;5.0;4.0;22.0;1.0;0.0;32850.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;108;111;18;25.423728813559322;1;3;0;3;3;0.0;98550.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNEMED;8995232702179;ACNEMED Acne Care Gel 5g;Miss Glam Sutomo;0.0;0.0;0.08;2.0;3.0;10.0;3.0;0.0;13736.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;20;21;3;0.0;1;3;1;2;3;13736.0;41208.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNEMED;8995232702551;ACNEMED Blemish Spot 12g;Miss Glam Sutomo;0.0;0.0;0.07;3.0;3.0;10.0;3.0;0.0;27473.0;100.0;1.0;5;0;11993.0;109.0;PT. PENTA VALENT - PPN (PDG);32.0;ACNEMED;7.0;Miss Glam Padang;1.0;500000.0;0.0;;;30;31;3;0.0;1;3;1;2;3;27473.0;82419.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Sutomo;15.0;0.0;0.86;4.0;2.0;7.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;27;29;26;17.441860465116278;1;11;0;11;11;0.0;292853.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Sutomo;20.0;0.0;1.37;5.0;2.0;7.0;3.0;0.0;15976.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;33;36;42;14.5985401459854;1;22;0;22;22;0.0;351472.0;21. Miss Glam Sutomo.xlsx;SUTOMO
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Sutomo;19.0;0.0;1.41;6.0;2.0;7.0;3.0;3.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;40;43;43;13.47517730496454;1;21;0;21;21;0.0;533295.0;21. Miss Glam Sutomo.xlsx;SUTOMO
