Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Tanjung Pinang;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Tanjung Pinang;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Tanjung Pinang;7.0;0.0;0.86;4.0;7.0;23.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;86;93;26;8.13953488372093;1;19;13;6;6;346099.0;159738.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Tanjung Pinang;8.0;0.0;1.37;5.0;7.0;23.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;106;116;42;5.839416058394161;1;34;24;10;10;383376.0;159740.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Tanjung Pinang;8.0;0.0;1.41;6.0;7.0;23.0;3.0;3.0;25395.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;129;139;43;5.673758865248227;1;32;0;32;32;0.0;812640.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Tanjung Pinang;4.0;0.0;1.32;5.0;7.0;23.0;3.0;3.0;15154.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;106;116;40;3.0303030303030303;1;33;2;31;31;30308.0;469774.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;Miss Glam Tanjung Pinang;5.0;0.0;1.1;4.0;7.0;23.0;3.0;3.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;85;93;33;4.545454545454545;1;25;0;25;25;0.0;399350.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821102358;ACNES Oil Control Face Wash 100gr;Miss Glam Tanjung Pinang;12.0;0.0;0.76;3.0;7.0;23.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;64;70;23;15.789473684210526;1;11;6;5;5;159738.0;133115.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821102341;ACNES Oil Control Face Wash 50gr;Miss Glam Tanjung Pinang;10.0;0.0;1.03;4.0;7.0;23.0;3.0;0.0;15974.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;85;93;31;9.70873786407767;1;21;14;7;7;223636.0;111818.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
ACNES;8992821100415;ACNES Sealing Jell 9gr;Miss Glam Tanjung Pinang;12.0;0.0;1.47;6.0;7.0;23.0;3.0;0.0;17612.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;128;139;45;8.16326530612245;1;33;22;11;11;387464.0;193732.0;20. Miss Glam Tanjung Pinang.xlsx;TANJUNG PINANG
