Brand;SKU;Nama;Toko;Stok;Stock;Daily Sales;Max. Daily Sales;Lead Time;Max. Lead Time;Min. Order;Sedang PO;HPP;contribution_pct;contribution_ratio;Lead Time Sedang PO;Is in Padang;No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor;Safety stock;Reorder point;Stock cover 30 days;current_stock_days_cover;is_open_po;initial_qty_po;emergency_po_qty;updated_regular_po_qty;final_updated_regular_po_qty;emergency_po_cost;final_updated_regular_po_cost;Source File;Location
ACNAWAY;11200219810;ACNAWAY Mugwort Blackhead Treatment Step 1 17ml;Miss Glam Tembilahan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNAWAY;11200219943;ACNAWAY Mugwort Blackhead Treatment Step 2 17ml;Miss Glam Tembilahan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;0;0;0;0.0;1;0;0;0;0;0.0;0.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;Miss Glam Tembilahan;11.0;0.0;0.75;4.0;6.0;26.0;1.0;0.0;30601.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;100;105;23;14.666666666666666;1;12;9;3;3;275409.0;91803.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;Miss Glam Tembilahan;4.0;0.0;0.51;8.0;6.0;26.0;1.0;0.0;32301.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;205;209;16;7.8431372549019605;1;12;10;2;2;323010.0;64602.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;Miss Glam Tembilahan;8.0;0.0;0.59;5.0;6.0;26.0;1.0;0.0;32301.0;100.0;1.0;5;1;2787.0;1.0;PT. BERSAMA DISTRIVERSA INDONESIA (DC CIPUTAT);1480.0;ACNAWAY;7.0;Miss Glam Padang;2.0;500000.0;0.0;;;127;131;18;13.559322033898306;1;10;8;2;2;258408.0;64602.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNES;8992821102372;ACNES Complete White Face Wash 100gr;Miss Glam Tembilahan;12.0;0.0;0.86;4.0;4.0;22.0;3.0;0.0;26623.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;85;89;26;13.953488372093023;1;14;7;7;7;186361.0;186361.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNES;8992821102365;ACNES Complete White Face Wash 50gr;Miss Glam Tembilahan;4.0;0.0;1.37;5.0;4.0;22.0;3.0;3.0;15876.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;105;111;42;2.9197080291970803;1;35;2;33;33;31752.0;523908.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNES;8992821100309;ACNES Creamy Wash 100gr;Miss Glam Tembilahan;8.0;0.0;1.41;6.0;4.0;22.0;3.0;3.0;25375.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;127;133;43;5.673758865248227;1;32;0;32;32;0.0;812000.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNES;8992821100392;ACNES Creamy Wash 50gr;Miss Glam Tembilahan;17.0;0.0;1.32;5.0;4.0;22.0;3.0;0.0;15148.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;105;111;40;12.878787878787879;1;23;13;10;10;196924.0;151480.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;Miss Glam Tembilahan;7.0;0.0;0.9;5.0;4.0;22.0;3.0;3.0;26536.0;100.0;1.0;5;1;10975.0;33.0;PT. MENSA BINASUKSES - PPN (PDG);33.0;ACNES;7.0;Miss Glam Padang;3.0;500000.0;0.0;;;107;111;27;7.777777777777778;1;17;0;17;17;0.0;451112.0;15. Miss Glam Tembilahan.xlsx;TEMBILAHAN
