No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
1;ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;31930;42000;1193;A;BRAND VIRAL;Face Cleansing;Facial Wash;1;43;0;2025-11-22;1;1;0,74;4;4;23;1;89,04;92;100;25;75;2394750;Miss Glam Padang;21;0;0;0;0;;;0;4;2,96
2;ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;33908;45000;1669;A;BRAND VIRAL;Face Mask;Clay Mask;1;29;25;2025-11-23;0;0;0,49;4;8;23;1;182,03;184;200;0;175;5933900;Miss Glam Padang;21;0;0;0;0;;;51,02;0;0
3;ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;30928;45000;1485;A;BRAND VIRAL;Moisturizer;All Day Moisturizer;1;33;34;2025-11-22;0;0;0,56;4;5;23;1;112,76;115;125;0;91;2814448;Miss Glam Padang;21;0;0;0;0;;;60,71;0;0
4;ACNEMED;8995232702124;ACNEMED Facial Wash For Oily Skin 100gr;30220;36500;4690;B*;BEAUTY MATURE;Face Cleansing;Facial Wash;0;5;5;2025-11-21;0;0;0,08;4;1;6;3;5,66;6;25;0;21;634620;Miss Glam Padang;21;0;0;0;0;;;62,5;0;0
5;ACNES;8992821102372;ACNES Complete White Face Wash 100gr;26623;33500;1026;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;51;27;2025-11-20;0;0;0,86;2;4;15;3;58,27;60;92;0;66;1757118;Miss Glam Padang;21;0;0;0;0;;;31,4;0;0
6;ACNES;8992821102365;ACNES Complete White Face Wash 50gr;15974;19500;634;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;81;60;2025-11-23;0;0;1,37;2;5;15;3;72,25;75;115;0;54;862596;Miss Glam Padang;21;0;0;50;0;50;;43,8;0;0
7;ACNES;8992821100309;ACNES Creamy Wash 100gr;25395;31000;604;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;85;84;2025-11-22;0;0;1,44;2;6;15;3;87,12;90;138;0;54;1371330;Miss Glam Padang;21;0;0;50;0;50;;58,33;0;0
8;ACNES;8992821100392;ACNES Creamy Wash 50gr;15155;18500;669;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;77;52;2025-11-23;0;0;1,31;2;5;15;3;72,39;75;115;0;63;954765;Miss Glam Padang;21;0;0;50;0;50;;39,69;0;0
9;ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;26623;32500;979;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;53;33;2025-11-23;0;0;0,9;2;5;15;3;73,2;75;115;0;81;2156463;Miss Glam Padang;21;0;0;0;0;;;36,67;0;0
10;ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;15974;19500;815;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;64;29;2025-11-23;0;0;1,08;2;4;15;3;57,83;60;92;0;63;1006362;Miss Glam Padang;21;0;0;50;0;50;;26,85;0;0
