No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
1;ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;35910;42000;1193;A;BRAND VIRAL;Face Cleansing;Facial Wash;1;14;2;2025-11-23;0;0;0,24;4;2;23;1;45,05;46;50;0;48;1723680;Miss Glam Pekanbaru;21;0;0;0;0;;;8,33;0;0
2;ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;33887;45000;1669;A;BRAND VIRAL;Face Mask;Clay Mask;1;6;23;2025-11-23;0;0;0,1;4;2;23;1;45,59;46;50;0;27;914949;Miss Glam Pekanbaru;21;0;0;0;0;;;230;0;0
3;ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;32445;45000;1485;A;BRAND VIRAL;Moisturizer;All Day Moisturizer;1;6;24;2025-11-22;0;0;0,1;4;2;23;1;45,59;46;50;0;26;843570;Miss Glam Pekanbaru;21;0;0;0;0;;;240;0;0
4;ACNEMED;8995232702124;ACNEMED Facial Wash For Oily Skin 100gr;30220;38000;4690;B*;BEAUTY MATURE;Face Cleansing;Facial Wash;0;1;0;2025-11-08;15;8;0,02;42;1;42;3;41,16;42;63;0;63;1903860;Miss Glam Pekanbaru;21;0;0;0;0;;;0;0;0
5;ACNES;8992821102372;ACNES Complete White Face Wash 100gr;26623;32500;1026;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;14;10;2025-11-19;0;0;0,24;3;2;28;3;55,29;56;48;0;39;1038297;Miss Glam Pekanbaru;21;0;0;0;0;;;41,67;0;0
6;ACNES;8992821102365;ACNES Complete White Face Wash 50gr;15974;19500;634;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;21;2;2025-11-23;0;0;0,36;3;3;28;3;82,93;84;72;0;69;1102206;Miss Glam Pekanbaru;21;0;0;50;0;50;;5,56;0;0
7;ACNES;8992821100309;ACNES Creamy Wash 100gr;25395;31000;604;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;28;8;2025-11-20;0;0;0,47;3;3;28;3;82,58;84;72;0;63;1599885;Miss Glam Pekanbaru;21;0;0;50;0;50;;17,02;0;0
8;ACNES;8992821100392;ACNES Creamy Wash 50gr;15155;18500;669;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;23;11;2025-11-20;0;0;0,39;3;2;28;3;54,83;56;48;0;36;545580;Miss Glam Pekanbaru;21;0;0;50;0;50;;28,21;0;0
9;ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;26623;32500;979;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;8;10;2025-11-15;0;0;0,14;3;2;28;3;55,59;56;48;0;39;1038297;Miss Glam Pekanbaru;21;0;0;0;0;;;71,43;0;0
10;ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;15974;19500;815;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;18;12;2025-11-20;0;0;0,31;3;2;28;3;55,08;56;48;0;36;575064;Miss Glam Pekanbaru;21;0;0;50;0;50;;38,71;0;0
