No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
1;ACNAWAY;10400614911;ACNAWAY 3 in 1 Acne Sun Serum Sunscreen Serum with SPF 50+ PA+++ ONLY FOR ACNE SKIN 50gr;44290;58000;6599;B;BRAND VIRAL;Sunscreen;Serum;0;1;5;2025-11-20;0;0;0,05;7;1;22;1;21,65;22;28;0;23;1018670;Miss Glam Balikpapan;21;0;0;0;0;;;100;0;0
2;ACNAWAY;10400517459;ACNAWAY Mugwort Daily Sunscreen Only For Acne Skin 50ml;32445;42000;2683;A;BRAND VIRAL;Sunscreen;Cream;1;4;0;2025-11-19;4;3;0,24;7;1;22;1;20,32;22;28;12;16;519120;Miss Glam Balikpapan;21;0;0;0;0;;;0;7;1,68
3;ACNAWAY;101001107647;ACNAWAY Mugwort Gel Facial Wash Mugwort + Centella + Panthenol 100ml;31930;42000;1193;A;BRAND VIRAL;Face Cleansing;Facial Wash;1;13;6;2025-11-21;0;0;0,65;7;3;22;1;61,45;66;84;0;78;2490540;Miss Glam Balikpapan;21;0;0;0;0;;;9,23;0;0
4;ACNAWAY;10500637717;ACNAWAY Mugwort Gel Mask Anti Pores Masker Gel Masker Mugwort Wash off mask 50gr;33887;45000;1669;A;BRAND VIRAL;Face Mask;Clay Mask;1;11;0;2025-11-15;8;8;0,92;7;5;22;1;103,56;110;140;35;105;3558135;Miss Glam Balikpapan;21;0;0;0;0;;;0;7;6,44
5;ACNAWAY;10300721756;ACNAWAY Mugwort Water Gel Moisturizer with Mugwort + Centella + Panthenol ONLY FOR ACNE SKIN 30gr;32445;45000;1485;A;BRAND VIRAL;Moisturizer;All Day Moisturizer;1;16;0;2025-11-21;2;2;0,89;7;5;22;1;103,77;110;140;22;118;3828510;Miss Glam Balikpapan;21;0;0;0;0;;;0;7;6,23
6;ACNES;8992821102372;ACNES Complete White Face Wash 100gr;26623;32500;1026;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;5;30;2025-11-23;0;0;0,25;1;1;2;3;1,75;2;22;0;0;0;Miss Glam Balikpapan;21;0;0;0;0;;;120;0;0
7;ACNES;8992821102365;ACNES Complete White Face Wash 50gr;15974;19500;634;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;1;49;2025-11-12;0;0;0,05;1;1;2;3;1,95;2;22;0;0;0;Miss Glam Balikpapan;21;0;0;50;0;50;;980;0;0
8;ACNES;8992821100309;ACNES Creamy Wash 100gr;25395;31000;604;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;4;45;2025-11-14;0;0;0,2;1;1;2;3;1,8;2;22;0;0;0;Miss Glam Balikpapan;21;0;0;50;0;50;;225;0;0
9;ACNES;8992821100392;ACNES Creamy Wash 50gr;15155;18500;669;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;3;31;2025-11-23;0;0;0,15;1;2;2;3;3,85;4;44;0;0;0;Miss Glam Balikpapan;21;0;0;50;0;50;;206,67;0;0
10;ACNES;8992821102396;ACNES Deep Pore Cleanser Face Wash 100g;26623;32500;979;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;4;32;2025-11-13;0;0;0,2;1;3;2;3;5,8;6;66;0;0;0;Miss Glam Balikpapan;21;0;0;0;0;;;160;0;0
11;ACNES;8992821102389;ACNES Deep Pore Cleanser Face Wash 50gr;15974;19500;815;A;BEAUTY MATURE;Face Cleansing;Facial Wash;1;2;34;2025-11-08;0;0;0,1;1;1;2;3;1,9;2;22;0;0;0;Miss Glam Balikpapan;21;0;0;50;0;50;;340;0;0
12;ACNES;8992821103492;ACNES Derma Care Anti Blemish Essence 20ml;66354;80500;8513;C;BEAUTY MATURE;Face Care;Essence;0;1;5;2025-11-14;0;0;0,05;1;1;2;3;1,95;2;22;0;0;0;Miss Glam Balikpapan;21;0;0;0;0;;;100;0;0
13;ACNES;8992821103508;ACNES Derma Care Gentle Cleanser 120g;50789;62000;6381;B;BEAUTY MATURE;Face Cleansing;Facial Wash;0;2;4;2025-11-20;0;0;0,1;1;1;2;3;1,9;2;22;0;0;0;Miss Glam Balikpapan;21;0;0;0;0;;;40;0;0
