No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
1;;;1756;BLOOD;37;PT Bersama Distriversa Indonesia;1;500000;0;;
2;;;875;JF THE SKIN SPECIALIST;32;Miss Glam Pasaman Barat;1;500000;0;;
3;;;875;JF THE SKIN SPECIALIST;34;Miss Glam Duri;1;500000;0;;
4;;;875;JF THE SKIN SPECIALIST;38;Miss Glam P. Sidimpuan;1;500000;0;;
5;;;875;JF THE SKIN SPECIALIST;39;Miss Glam Aceh;1;500000;0;;
6;;;875;JF THE SKIN SPECIALIST;40;Miss Glam Marpoyan;1;500000;0;;
7;;;2247;JUDYDOLL;39;Miss Glam Aceh;2;500000;0;;
8;;;384;MBK;37;PT Bersama Distriversa Indonesia;1;500000;0;;
9;;;111;MUSTIKA RATU;19;Miss Glam Medan;4;500000;0;;
10;;;111;MUSTIKA RATU;29;Miss Glam Rantau Prapat;4;500000;0;;
11;;;111;MUSTIKA RATU;33;Miss Glam Halat;4;500000;0;;
12;;;111;MUSTIKA RATU;36;Miss Glam Dr. Mansyur;4;500000;0;;
13;;;111;MUSTIKA RATU;38;Miss Glam P. Sidimpuan;4;500000;0;;
14;3180;ANUGERAH NIAGA JAYA (DMI);2406;FACERINNA;27;Miss Glam Dumai;1;500000;0;;
15;3180;ANUGERAH NIAGA JAYA (DMI);2406;FACERINNA;34;Miss Glam Duri;1;500000;0;;
16;3180;ANUGERAH NIAGA JAYA (DMI);1017;SKINTIFIC;27;Miss Glam Dumai;1;500000;0;;
17;3180;ANUGERAH NIAGA JAYA (DMI);1017;SKINTIFIC;34;Miss Glam Duri;1;500000;0;;
18;3694;ANUGERAH PHARMINDO LESTARI - PPN (BPP);326;CETAPHIL;44;Miss Glam Balikpapan;3;500000;0;;
19;3343;ANUGERAH PHARMINDO LESTARI - PPN (PKU);326;CETAPHIL;8;Miss Glam Pekanbaru;3;500000;0;;
20;3343;ANUGERAH PHARMINDO LESTARI - PPN (PKU);326;CETAPHIL;14;Miss Glam Panam;3;500000;0;;
21;3343;ANUGERAH PHARMINDO LESTARI - PPN (PKU);326;CETAPHIL;35;Miss Glam Sudirman;3;500000;0;;
